threshold,accuracy,tumor_recall,normal_recall,macro_f1
0.77,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.78,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.79,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.8,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.81,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.82,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.83,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.84,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.85,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.86,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.87,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.88,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.89,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
0.9,0.7025862068965517,0.4051724137931034,1.0,0.673725618082873
