threshold,accuracy,tumor_recall,normal_recall,macro_f1
0.41,0.8648221343873518,0.9806985294117647,0.15254237288135594,0.5829067245119306
0.42,0.8640316205533597,0.9788602941176471,0.15819209039548024,0.5854481991250933
0.43,0.8640316205533597,0.9788602941176471,0.15819209039548024,0.5854481991250933
0.44,0.8648221343873518,0.9788602941176471,0.1638418079096045,0.5894797970884122
0.45,0.866403162055336,0.9788602941176471,0.1751412429378531,0.5974440232813438
0.46,0.8679841897233201,0.9788602941176471,0.1864406779661017,0.6052791381182023
0.47,0.8679841897233201,0.9788602941176471,0.1864406779661017,0.6052791381182023
0.48,0.8695652173913043,0.9788602941176471,0.1977401129943503,0.6129884577944653
0.49,0.8695652173913043,0.9788602941176471,0.1977401129943503,0.6129884577944653
0.5,0.8703557312252964,0.9788602941176471,0.2033898305084746,0.6167969500391589
0.51,0.8703557312252964,0.9770220588235294,0.21468926553672316,0.6225254730713246
0.52,0.8703557312252964,0.9770220588235294,0.21468926553672316,0.6225254730713246
0.53,0.8703557312252964,0.9761029411764706,0.22033898305084745,0.6253178639542276
0.54,0.8703557312252964,0.9751838235294118,0.22598870056497175,0.6280639100440314
0.55,0.8695652173913043,0.9742647058823529,0.22598870056497175,0.6271602732996918
0.56,0.8687747035573122,0.9733455882352942,0.22598870056497175,0.6262618712001481
0.57,0.867193675889328,0.9715073529411765,0.22598870056497175,0.6244805066297249
0.58,0.867193675889328,0.9696691176470589,0.23728813559322035,0.6297922153936202
0.59,0.8656126482213439,0.9669117647058824,0.24293785310734464,0.6305896822779243
0.6,0.8656126482213439,0.9659926470588235,0.24858757062146894,0.6331306638279288
0.61,0.8679841897233201,0.9659926470588235,0.2655367231638418,0.6432762757742622
0.62,0.8687747035573122,0.9641544117647058,0.2824858757062147,0.6513091474268711
0.63,0.8687747035573122,0.9641544117647058,0.2824858757062147,0.6513091474268711
0.64,0.8750988142292491,0.9641544117647058,0.327683615819209,0.6766611016203344
0.65,0.8790513833992095,0.9641544117647058,0.3559322033898305,0.6918215560109485
0.66,0.8845849802371542,0.9632352941176471,0.4011299435028249,0.7139675636832193
0.67,0.7391304347826086,0.7610294117647058,0.6045197740112994,0.6136096054736094
0.68,0.7494071146245059,0.7582720588235294,0.6949152542372882,0.6378929061305502
0.69,0.7596837944664032,0.7573529411764706,0.7740112994350282,0.6591553689942709
0.7,0.7675889328063241,0.7555147058823529,0.8418079096045198,0.6758377960003348
0.71,0.7675889328063241,0.7527573529411765,0.8587570621468926,0.6780936454849498
0.72,0.7699604743083004,0.7518382352941176,0.8813559322033898,0.6832004998360559
0.73,0.7699604743083004,0.7518382352941176,0.8813559322033898,0.6832004998360559
0.74,0.7699604743083004,0.7518382352941176,0.8813559322033898,0.6832004998360559
0.75,0.7715415019762846,0.7518382352941176,0.8926553672316384,0.6860920897284534
0.76,0.7723320158102767,0.7509191176470589,0.903954802259887,0.6882359384413166
0.77,0.7715415019762846,0.7490808823529411,0.9096045197740112,0.6882028197651362
0.78,0.7707509881422925,0.7481617647058824,0.9096045197740112,0.6874723125259836
0.79,0.7660079051383399,0.7426470588235294,0.9096045197740112,0.683111941612165
0.8,0.7636363636363637,0.7398897058823529,0.9096045197740112,0.680946006247211
0.81,0.7612648221343874,0.7371323529411765,0.9096045197740112,0.6787893157908897
0.82,0.7620553359683795,0.7362132352941176,0.9209039548022598,0.6808824478432023
0.83,0.7604743083003953,0.734375,0.9209039548022598,0.6794465970132029
0.84,0.7557312252964427,0.7288602941176471,0.9209039548022598,0.6751625703779112
0.85,0.7533596837944664,0.7251838235294118,0.9265536723163842,0.6737103174603174
0.86,0.7533596837944664,0.7242647058823529,0.9322033898305084,0.6743822271503247
0.87,0.7533596837944664,0.7233455882352942,0.9378531073446328,0.6750492349643993
0.88,0.7509881422924901,0.7205882352941176,0.9378531073446328,0.6729256563033273
